state,pct_SGTF,pct_SGTF_B117,collection_date
CA,29.65,100,3/17/2021
AZ,31,100,3/16/2021
TX,47.46,100,3/16/2021
GA,56,91,3/16/2021
NC,42.6,99,3/17/2021
LA,57.71,100,3/16/2021
MI,54.54,100,3/16/2021
IN,23.7,100,3/16/2021
PA,29.98,100,3/16/2021
MA,32.74,92,3/16/2021
FL,51.92,99,3/16/2021
